Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
HIGHLANDS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HAZLETON GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SHAMOKIN AREA COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TYLER MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
GNADEN HUETTEN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MAIN LINE HOSPITAL LANKENAU,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SACRED HEART HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MILLCREEK COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PUNXSUTAWNEY AREA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
POCONO MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
DOYLESTOWN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NAZARETH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SHARON REGIONAL HEALTH SYSTEM,Acute Care Hospitals,Voluntary non-profit - Other,Yes
EXCELA HEALTH FRICK HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
EXCELA HEALTH LATROBE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
JENNERSVILLE REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
RIDDLE MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PENN PRESBYTERIAN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
EPHRATA COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST CLAIR MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ABINGTON MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HANOVER HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"MEMORIAL HOSPITAL, INC  TOWANDA",Acute Care Hospitals,Voluntary non-profit - Private,Yes
REGIONAL HOSPITAL OF SCRANTON,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MILTON S HERSHEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST MARY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
LEHIGH VALLEY HOSPITAL - MUHLENBERG,Acute Care Hospitals,Voluntary non-profit - Other,Yes
JEFFERSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
GROVE CITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WESTERN PENNSYLVANIA HOSP FORBES REGIONAL CAMPUS,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MOUNT NITTANY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
GEISINGER WYOMING VALLEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
VALLEY FORGE MEDICAL CENTER AND HOSPITAL,Acute Care Hospitals,Proprietary,No
EAGLEVILLE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HAHNEMANN UNIVERSITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ROXBOROUGH MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
EDGEWOOD SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
CANCER TREATMENT CENTERS OF AMERICA,Acute Care Hospitals,Voluntary non-profit - Private,No
SAINT CATHERINE MEDICAL CENTER FOUNTAIN SPRINGS,Acute Care Hospitals,Proprietary,Yes
COORDINATED HEALTH ORTHOPEDIC HOSPITAL,Acute Care Hospitals,Proprietary,No
SURGICAL INSTITUTE OF READING,Acute Care Hospitals,Proprietary,No
WESTFIELD HOSPITAL,Acute Care Hospitals,Proprietary,Yes
SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH,Acute Care Hospitals,Proprietary,No
BUCKS COUNTY SPECIALTY HOSPITAL,Acute Care Hospitals,Proprietary,No
ADVANCED SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,No
PHYSICIAN'S CARE SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,No
OSS ORTHOPAEDIC HOSPITAL,Acute Care Hospitals,Proprietary,No
ST LUKE'S HOSPITAL - ANDERSON CAMPUS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JERSEY SHORE HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MUNCY VALLEY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MEYERSDALE COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
FULTON COUNTY MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BUCKTAIL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
TROY COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ENDLESS MOUNTAINS HEALTH SYSTEMS,Critical Access Hospitals,Voluntary non-profit - Private,Yes
TYRONE HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CORRY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BARNES-KASSON COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MID-VALLEY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
BROOKVILLE HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CHARLES COLE MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
CHILDREN'S HOSPITAL OF PITTSBURGH OF UPMC,Childrens,Voluntary non-profit - Other,Yes
CHILDREN'S HOSPITAL OF PHILADELPHIA,Childrens,Voluntary non-profit - Private,Yes
ASHFORD PRESBYTERIAN COMMUNITY HOSP,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HOSPITAL METROPOLITANO DR PILA,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"ASOCIACION HOSPITAL DEL MAESTRO, INC",Acute Care Hospitals,Voluntary non-profit - Other,Yes
HIMA SAN PABLO HUMACAO,Acute Care Hospitals,Proprietary,Yes
DOCTORS' CENTER HOSPITAL SAN JUAN,Acute Care Hospitals,Proprietary,Yes
RYDER MEMORIAL HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SANTA ROSA CLINIC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CASTANER GENERAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
HOSPITAL ORIENTE,Acute Care Hospitals,Proprietary,Yes
DR I GONZALEZ MARTINEZ ONCOLOGY HOSP,Acute Care Hospitals,Voluntary non-profit - Private,No
HOSPITAL MENONITA DE CAYEY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BELLA VISTA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SAN JUAN MUNICIPAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
AUXILIO MUTUO HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MENNONITE GENERAL HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HOSPITAL PAVIA SANTURCE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOSPITAL DE LA CONCEPCION,Acute Care Hospitals,Proprietary,Yes
HOSPITAL DAMAS INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CLINICA ESPANOLA INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAFAYETTE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOSPITAL HERMANOS MELENDEZ INC,Acute Care Hospitals,Proprietary,Yes
SAN JUAN VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
SAN LUKE'S MEMORIAL HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA INC,Acute Care Hospitals,Proprietary,Yes
UNIVERSITY DISTRICT HOSPITAL,Acute Care Hospitals,Government - State,Yes
HOSP COMUNITARIO BUEN SAMARITANO,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HOSPITAL DR CAYETANO COLL Y TOSTE,Acute Care Hospitals,Proprietary,Yes
HOSPITAL SAN FRANCISCO,Acute Care Hospitals,Proprietary,Yes
DOCTORS CENTER HOSPITAL BAYAMON,Acute Care Hospitals,Proprietary,Yes
SISTEMA INTEGRADOS DE SALUD DEL SUR OESTE INC,Acute Care Hospitals,Proprietary,Yes
HOSPITAL SAN JUAN BAUTISTA MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,Acute Care Hospitals,Government - State,Yes
METROPOLITAN HOSPITAL,Acute Care Hospitals,Proprietary,Yes
HOSPITAL HIMA-SAN PABLO BAYAMON,Acute Care Hospitals,Proprietary,Yes
HOSPITAL METROPOLITANO DR TITO MATTEI,Acute Care Hospitals,Proprietary,Yes
HOSPITAL SAN CARLOS BORROMEO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"HOSPITAL UPR, DR  FEDERICO TRILLA",Acute Care Hospitals,Proprietary,No
HOSPITAL SAN CRISTOBAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MANATI MEDICAL CENTER DR OTERO LOPEZ,Acute Care Hospitals,Proprietary,Yes
CENTRO MEDICO WILMA N VAZQUEZ,Acute Care Hospitals,Proprietary,Yes
HOSPITAL DR SUSONI INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"DOCTORS' CENTER HOSPITAL, INC",Acute Care Hospitals,Proprietary,Yes
HIMA SAN PABLO-CAGUAS,Acute Care Hospitals,Proprietary,Yes
HOSPITAL SAN GERARDO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOSPITAL PEREA,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CENTRO CARDIOVASCULAR,Acute Care Hospitals,Government - State,Yes
HIMA-SAN PABLO FAJARDO,Acute Care Hospitals,Proprietary,Yes
HOSPITAL METROPOLITANO SAN GERMAN,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,Acute Care Hospitals,Government - Local,Yes
"HOSPITAL PAVIA HATO REY, INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOSPITAL METROPOLITANO DE LA MONTANA,Acute Care Hospitals,Proprietary,Yes
MEMORIAL HOSPITAL OF RHODE ISLAND,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ROGER WILLIAMS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST JOSEPH HEALTH SERVICES OF RI,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NEWPORT HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
RHODE ISLAND HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SOUTH COUNTY HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KENT COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"LANDMARK MEDICAL CENTER,  INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
MIRIAM HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WESTERLY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PROVIDENCE VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
PIEDMONT MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MUSC MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
MCLEOD MEDICAL CENTER - DILLON,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SPARTANBURG REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
OCONEE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CAROLINA PINES REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CANNON MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAPTIST EASLEY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BARNWELL COUNTY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PALMETTO HEALTH RICHLAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CHESTER REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
GEORGETOWN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST FRANCIS-DOWNTOWN,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SISTERS OF CHARITY PROVIDENCE HOSPITALS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ANMED HEALTH,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COLLETON MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
GREER MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
SPRINGS MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
HILLCREST MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
LAURENS COUNTY HEALTHCARE SYSTEM,Acute Care Hospitals,Government - Hospital District or Authority,Yes
WALLACE THOMSON HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
UPSTATE CAROLINA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
KERSHAW HEALTH,Acute Care Hospitals,Voluntary non-profit - Other,Yes
CONWAY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MCLEOD REGIONAL MEDICAL CENTER-PEE DEE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NEWBERRY COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
MARLBORO PARK HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MARION REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAMBERG COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
MCLEOD MEDICAL CENTER - DARLINGTON,Acute Care Hospitals,Voluntary non-profit - Private,No
CHESTERFIELD GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LORIS COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BON SECOURS-ST FRANCIS XAVIER HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAKE CITY COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BEAUFORT COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
TRMC OF ORANGEBURG & CALHOUN,Acute Care Hospitals,Government - Local,Yes
CLARENDON MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TUOMEY HEALTHCARE SYSTEM,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SELF REGIONAL HEALTHCARE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HAMPTON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LEXINGTON MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
GREENVILLE MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
TRIDENT MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HILTON HEAD REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
AIKEN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MARY BLACK MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
GRAND STRAND REG MED CENTER,Acute Care Hospitals,Proprietary,Yes
PALMETTO HEALTH BAPTIST,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ROPER HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
EAST COOPER MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CAROLINAS HOSPITAL SYSTEM,Acute Care Hospitals,Proprietary,Yes
WACCAMAW COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COASTAL CAROLINA HOSPITAL,Acute Care Hospitals,Proprietary,Yes
PATEWOOD MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
VILLAGE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MOUNT PLEASANT HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COLUMBIA SC VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
CHARLESTON VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
ALLENDALE COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
ABBEVILLE AREA MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
FAIRFIELD MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
WILLIAMSBURG REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
EDGEFIELD COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PRAIRIE LAKES HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BROOKINGS HOSPITAL,Acute Care Hospitals,Government - Local,Yes
AVERA SACRED HEART HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
AVERA QUEEN OF PEACE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
AVERA ST LUKES,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST MARYS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SANFORD USD MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
VA BLACK HILLS HEALTHCARE SYSTEM - FORT MEADE,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
SPEARFISH REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SIOUX FALLS VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
RAPID CITY REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PHS INDIAN HOSPITAL AT PINE RIDGE,Acute Care Hospitals,Government - Federal,Yes
PHS INDIAN HOSPITAL AT RAPID CITY - SIOUX SAN,Acute Care Hospitals,Government - Federal,Yes
PHS INDIAN HOSPITAL AT EAGLE BUTTE,Acute Care Hospitals,Government - Federal,Yes
PHS INDIAN HOSPITAL AT ROSEBUD,Acute Care Hospitals,Government - Federal,Yes
SIOUXLAND SURGERY CENTER LP,Acute Care Hospitals,Proprietary,No
SIOUX FALLS SPECIALTY HOSPITAL,Acute Care Hospitals,Proprietary,No
BLACK HILLS SURGICAL HOSPITAL LLP,Acute Care Hospitals,Proprietary,No
DAKOTA PLAINS SURGICAL CENTER LLP,Acute Care Hospitals,Government Federal,No
SAME DAY SURGERY CENTER LLC,Acute Care Hospitals,Proprietary,No
SPEARFISH REGIONAL SURGERY CENTER,Acute Care Hospitals,Voluntary non-profit - Other,No
AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,Acute Care Hospitals,Proprietary,Yes
LEWIS AND CLARK SPECIALTY HOSPITAL,Acute Care Hospitals,Proprietary,No
MADISON COMMUNITY HOSPITAL - CRITICAL ACCESS HOSP,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PLATTE HEALTH CENTER - CRITICAL ACCESS HOSPITAL,Critical Access Hospitals,Government - Local,Yes
AVERA FLANDREAU HOSPITAL - CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SANFORD HOSPITAL WEBSTER - CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WAGNER COMMUNITY MEMORIAL HOSPITAL - CAH,Critical Access Hospitals,Government - Local,Yes
COMMUNITY MEMORIAL HOSPITAL - CRITICAL ACCESS HOSP,Critical Access Hospitals,Government - Local,Yes
LANDMANN-JUNGMAN MEMORIAL HOSPITAL - CAH,Critical Access Hospitals,Government - Local,Yes
BOWDLE HOSPITAL - CRITICAL ACCESS HOSPITAL,Critical Access Hospitals,Government - Local,Yes
LEAD - DEADWOOD REGIONAL HOSPITAL - CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
STURGIS REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
FALL RIVER HOSPITAL - CRITICAL ACCESS HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CUSTER REGIONAL HOSPITAL - CRITICAL ACCESS HOSP,Critical Access Hospitals,Voluntary non-profit - Private,Yes
AVERA WESKOTA MEMORIAL MEDICAL CENTER - CAH,Critical Access Hospitals,Voluntary non-profit - Church,Yes
MOBRIDGE REGIONAL HOSPITAL - CRITICAL ACCESS HOSP,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MILBANK AREA HOSPITAL/AVERA HEALTH - CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST MICHAEL'S HOSPITAL - CRITICAL ACCESS HOSPITAL,Critical Access Hospitals,Government - Local,Yes
SANFORD CHAMBERLAIN MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
AVERA ST BENEDICT HEALTH CENTER - CAH,Critical Access Hospitals,Voluntary non-profit - Private,No
AVERA DELLS AREA HOSPITAL  - CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
AVERA DESMET MEMORIAL HOSPITAL - CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WINNER REGIONAL HEALTHCARE CENTER - CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HURON REGIONAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SANFORD VERMILLION HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,Critical Access Hospitals,Government - Local,Yes
AVERA GREGORY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
UNICOI COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
JACKSON-MADISON COUNTY GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SUMNER REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SKYLINE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UNITED REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HENDERSON COUNTY COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
CUMBERLAND MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WAYNE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BLOUNT MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
WELLMONT BRISTOL REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
UNIVERSITY OF TN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAPTIST MEMORIAL HOSPITAL HUNTINGDON,Acute Care Hospitals,Voluntary non-profit - Church,Yes
WELLMONT HOLSTON VALLEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SYCAMORE SHOALS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HILLSIDE HOSPITAL,Acute Care Hospitals,Proprietary,Yes
"LAUGHLIN MEMORIAL HOSPITAL, INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
WILLIAMSON MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,Acute Care Hospitals,Government - Local,Yes
ROANE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
METHODIST MEDICAL CENTER OF OAK RIDGE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GATEWAY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
VANDERBILT UNIVERSITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PERRY COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
HORIZON MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
GIBSON GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BAPTIST MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
METHODIST HEALTHCARE MEMPHIS HOSPITALS,Acute Care Hospitals,Voluntary non-profit - Church,Yes
TAKOMA REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MCNAIRY REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MIDDLE TENNESSEE MEDICAL CENTER INC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
WOODS MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,No
CLAIBORNE COUNTY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
SOUTHERN TENNESSEE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
COOKEVILLE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
MILAN GENERAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
VOLUNTEER COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
JOHNSON CITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GRANDVIEW MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NORTHCREST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LAKEWAY REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ATHENS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
DECATUR COUNTY GENERAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
DYERSBURG REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MAURY REGIONAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
LECONTE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST THOMAS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
JAMESTOWN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SWEETWATER HOSPITAL ASSOCIATION,Acute Care Hospitals,Voluntary non-profit - Other,Yes
"MEMORIAL HEALTHCARE SYSTEM, INC",Acute Care Hospitals,Voluntary non-profit - Church,Yes
